time_ms,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
22919,6.715,6.886,-0.171,0
43115,13.496,13.842,-0.346,0
63311,20.152,20.642,-0.490,0
83507,20.499,21.024,-0.525,0
103703,20.484,21.008,-0.524,0
123899,20.123,20.638,-0.515,0
144095,19.783,20.289,-0.506,0
164291,19.811,20.318,-0.507,0
184487,20.006,20.518,-0.512,0
204683,18.262,18.730,-0.468,0
224879,16.519,16.942,-0.423,0
245075,14.776,15.154,-0.378,0
265271,13.032,13.366,-0.334,0
285467,11.289,11.578,-0.289,0
305482,9.563,9.808,-0.245,0
325678,7.819,8.019,-0.200,0
345874,6.076,6.232,-0.156,0
366070,4.333,4.443,-0.110,0
386266,2.589,2.655,-0.067,0
406462,0.846,0.867,-0.021,0
