time_ms,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
22929,6.715,6.886,-0.171,0
43125,13.496,13.842,-0.346,0
63325,20.152,20.668,-0.516,0
83521,20.499,21.024,-0.525,0
103717,20.484,21.008,-0.524,0
123913,20.123,20.638,-0.515,0
164305,19.811,20.318,-0.507,0
184501,20.006,20.518,-0.512,0
204697,18.262,18.730,-0.468,0
224893,16.519,16.942,-0.423,0
245089,14.776,15.154,-0.378,0
265285,13.032,13.366,-0.334,0
285481,11.289,11.578,-0.289,0
305496,9.563,9.808,-0.245,0
325692,7.819,8.019,-0.200,0
345888,6.076,6.231,-0.155,0
366084,4.333,4.443,-0.110,0
386280,2.589,2.655,-0.066,0
406476,0.846,0.867,-0.021,0
