# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,122,27060993,101808,136889,221811,449669,4981819667128,63630004,855556249,40834587435,2186875040032
single,dive.deco_schedule.rate,2878,627404,218,218,218,218,31930577591534148,13625,1362554,11094710768427,13625814822920767
single,dive.display_refresh,230,37931332,203,21703,164918,1928751,5300149205513,639187,135643725,23044126980,1205460622026
single,dive.o2_tox,35,9310,266,266,266,266,18870516501,16625,1662525,539157614,16625814625
single,dive.o2_tox.rate,3471,815685,235,235,235,235,25926872856069460,14687,1468733,7469568670720,14687419600216702
single,dive.rate_and_logging,2459,30847921,152,12091,12544,14845,246953645196575115,755187,75531235,100428485236508,89368722585267468
single,flash.init.reset_pos,5,65280,13056,13056,13056,13056,165648116,816000,816000,33129623,81600098
single,flash.log.rate,750,151320,28,208,201,208,9966924107,13000,1300071,13289232,1300010364
single,flash.serial.write,3,37887,12629,12629,12629,12629,80509842,789312,789312,26836614,78931218
single,task.mode.tick.loop,224,247040512,3997,990650,1102859,4077967,36848550286186878028967278142214717995012406148435577448029100886873769755544863648942129,27449812,63107531616,164502456634762848343603920277744276763448241734087399321558486102115043551539569861348,33455625221980921473385263422192219221949452063221922194969756112219221949939771122192219
