time_ms,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
8071,1.679,1.722,-0.043,0
13171,3.424,3.512,-0.088,0
18271,5.103,5.234,-0.131,0
23371,6.849,7.024,-0.175,0
28471,8.528,8.746,-0.218,0
33571,10.273,10.536,-0.263,0
38671,11.952,12.258,-0.306,0
43771,13.698,14.048,-0.350,0
48871,15.376,15.770,-0.394,0
53971,17.122,17.561,-0.439,0
59071,18.801,19.282,-0.481,0
64200,20.547,21.076,-0.529,0
69300,22.292,22.818,-0.526,0
74400,23.971,24.585,-0.614,0
79500,25.717,26.358,-0.641,0
84600,27.396,28.097,-0.701,0
89700,29.141,29.887,-0.746,0
94800,30.820,31.609,-0.789,0
99900,32.566,33.400,-0.834,0
105000,34.244,35.121,-0.877,0
110100,35.990,36.912,-0.922,0
115200,37.669,38.633,-0.964,0
120300,39.415,40.424,-1.009,0
125425,41.093,42.146,-1.053,0
130525,42.839,43.936,-1.097,0
135625,44.518,45.658,-1.140,0
140725,46.264,47.448,-1.184,0
145825,47.942,49.169,-1.227,0
150925,49.688,50.960,-1.272,0
156029,50.381,51.670,-1.289,0
161129,50.417,51.708,-1.291,0
166229,50.452,51.743,-1.291,0
171329,50.488,51.781,-1.293,0
176429,50.523,51.816,-1.293,0
181529,50.559,51.853,-1.294,0
186629,50.594,51.889,-1.294,0
191729,50.629,51.925,-1.296,0
196829,50.663,51.959,-1.297,0
201929,50.697,51.995,-1.298,0
207029,50.730,52.029,-1.299,0
212129,50.764,52.063,-1.299,0
217229,50.796,52.096,-1.300,0
222329,50.829,52.130,-1.300,0
227429,50.859,52.161,-1.302,0
232529,50.891,52.194,-1.303,0
237629,50.920,52.224,-1.304,0
242729,50.950,52.255,-1.304,0
247829,50.978,52.283,-1.305,0
252929,51.007,52.313,-1.306,0
258029,51.033,52.340,-1.307,0
263129,51.060,52.367,-1.307,0
268229,51.085,52.393,-1.308,0
273329,51.110,52.418,-1.308,0
278429,51.133,52.442,-1.309,0
283529,51.156,52.465,-1.309,0
288629,51.177,52.487,-1.310,0
293729,51.198,52.508,-1.310,0
298829,51.217,52.528,-1.311,0
303929,51.235,52.547,-1.312,0
309029,51.252,52.564,-1.312,0
314129,51.268,52.581,-1.312,0
319229,51.283,52.596,-1.313,0
324329,51.297,52.610,-1.313,0
329429,51.309,52.623,-1.314,0
334529,51.321,52.635,-1.314,0
339629,51.331,52.645,-1.314,0
344729,51.340,52.654,-1.314,0
349829,51.347,52.662,-1.315,0
354929,51.354,52.668,-1.314,0
360029,51.359,52.673,-1.314,0
365129,51.363,52.677,-1.314,0
370229,51.365,52.680,-1.315,0
375329,51.366,52.681,-1.315,0
380429,51.366,52.681,-1.315,0
385529,51.365,52.680,-1.315,0
390629,51.363,52.678,-1.315,0
395729,51.359,52.674,-1.315,0
400829,51.354,52.668,-1.314,0
