time_ms,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
405929,51.347,52.662,-1.315,0
411029,51.340,52.654,-1.314,0
416129,51.331,52.645,-1.314,0
421229,51.321,52.635,-1.314,0
426329,51.310,52.623,-1.313,0
431429,51.297,52.611,-1.314,0
436529,51.283,52.596,-1.313,0
441629,51.269,52.581,-1.312,0
446729,51.253,52.565,-1.312,0
451829,51.236,52.548,-1.312,0
456929,51.217,52.528,-1.311,0
462029,51.198,52.509,-1.311,0
467129,51.178,52.488,-1.310,0
477329,51.134,52.443,-1.309,0
482429,51.111,52.419,-1.308,0
487531,51.086,52.394,-1.308,0
492631,51.061,52.368,-1.307,0
497731,51.034,52.341,-1.307,0
502831,51.008,52.314,-1.306,0
507931,50.980,52.285,-1.305,0
513031,50.951,52.256,-1.305,0
518131,50.921,52.225,-1.304,0
523231,50.892,52.194,-1.302,0
528331,50.861,52.163,-1.302,0
533431,50.830,52.131,-1.301,0
538531,50.797,52.098,-1.301,0
543631,50.765,52.065,-1.300,0
548731,50.732,52.031,-1.299,0
558931,50.664,51.961,-1.297,0
564031,50.630,51.926,-1.296,0
569131,50.595,51.891,-1.296,0
574231,50.561,51.855,-1.294,0
579331,50.525,51.818,-1.293,0
584431,50.490,51.782,-1.292,0
589531,50.454,51.745,-1.291,0
594631,50.418,51.709,-1.291,0
599731,50.382,51.672,-1.290,0
604831,50.347,51.636,-1.289,0
609931,50.310,51.599,-1.288,0
615031,50.275,51.562,-1.287,0
620131,50.239,51.525,-1.286,0
630331,50.168,51.453,-1.285,0
635431,50.134,51.417,-1.283,0
640531,50.098,51.380,-1.282,0
645631,50.064,51.346,-1.282,0
650731,50.030,51.310,-1.280,0
655831,49.997,51.276,-1.279,0
660931,49.963,51.242,-1.279,0
666031,49.931,51.209,-1.278,0
671131,49.898,51.175,-1.277,0
676231,49.867,51.143,-1.276,0
681331,49.835,51.111,-1.276,0
686431,49.806,51.081,-1.275,0
691531,49.775,51.050,-1.275,0
696631,49.747,51.021,-1.274,0
701731,49.718,50.991,-1.273,0
706831,49.692,50.964,-1.272,0
711931,49.665,50.936,-1.271,0
717031,49.640,50.911,-1.271,0
722131,49.615,50.885,-1.270,0
727231,49.592,50.861,-1.269,0
732331,49.568,50.837,-1.269,0
737431,49.547,50.815,-1.268,0
742531,49.526,50.794,-1.268,0
747631,49.507,50.774,-1.267,0
752731,49.488,50.755,-1.267,0
757831,49.471,50.737,-1.267,0
762931,49.454,50.720,-1.266,0
768031,49.439,50.705,-1.266,0
773131,49.425,50.690,-1.265,0
778231,49.412,50.677,-1.265,0
783331,49.401,50.665,-1.264,0
788431,49.390,50.655,-1.265,0
793531,49.381,50.645,-1.264,0
798631,49.373,50.638,-1.265,0
803731,49.367,50.631,-1.264,0
808831,49.361,50.625,-1.264,0
813933,49.357,50.620,-1.264,0
819033,49.354,50.618,-1.264,0
824133,49.353,50.616,-1.263,0
829233,49.352,50.616,-1.264,0
834333,49.353,50.617,-1.264,0
839433,49.355,50.619,-1.264,0
844533,49.359,50.623,-1.264,0
849633,49.364,50.627,-1.264,0
854733,49.370,50.634,-1.264,0
859833,49.377,50.641,-1.264,0
864933,49.386,50.650,-1.264,0
870033,49.395,50.659,-1.264,0
875133,49.406,50.671,-1.265,0
880233,49.418,50.683,-1.265,0
885333,49.432,50.698,-1.266,0
890433,49.446,50.712,-1.266,0
895533,49.462,50.729,-1.267,0
900633,49.479,50.745,-1.267,0
905733,49.497,50.764,-1.267,0
910833,49.516,50.783,-1.267,0
915933,49.536,50.805,-1.269,0
921033,49.557,50.826,-1.269,0
926133,49.580,50.849,-1.269,0
931233,49.603,50.872,-1.269,0
936333,49.627,50.898,-1.271,0
941433,49.652,50.923,-1.271,0
946533,49.678,50.950,-1.272,0
951633,49.705,50.977,-1.272,0
956733,49.733,51.006,-1.273,0
961833,49.761,51.034,-1.273,0
966933,49.790,51.065,-1.275,0
972033,49.820,51.095,-1.275,0
977133,49.851,51.127,-1.276,0
982233,49.882,51.159,-1.277,0
987333,49.914,51.192,-1.278,0
992433,49.946,51.225,-1.279,0
997533,49.980,51.259,-1.279,0
1002633,50.012,51.293,-1.281,0
1012833,50.080,51.362,-1.282,0
1017933,50.116,51.398,-1.282,0
1023033,50.150,51.434,-1.284,0
1028133,50.186,51.471,-1.285,0
1033233,50.221,51.507,-1.286,0
1038333,50.257,51.544,-1.287,0
1043433,50.292,51.580,-1.288,0
1048533,50.328,51.617,-1.289,0
1053633,50.302,51.590,-1.288,0
1058733,49.808,51.084,-1.276,0
1063833,49.333,50.596,-1.263,0
1074033,48.364,49.602,-1.239,0
1084233,47.395,48.608,-1.213,0
1089333,46.901,48.101,-1.200,0
1094433,46.426,47.614,-1.188,0
1099533,45.932,47.107,-1.175,0
1104633,45.457,46.620,-1.163,0
1109733,44.962,46.113,-1.151,0
1114833,44.487,45.626,-1.139,0
1119937,43.993,45.119,-1.126,0
1125037,43.518,44.632,-1.114,0
1130137,43.024,44.125,-1.101,0
1135237,42.549,43.638,-1.089,0
1140337,42.055,43.131,-1.076,0
1145463,41.580,42.645,-1.065,0
1150563,41.086,42.138,-1.052,0
1155663,40.611,41.651,-1.040,0
1160763,40.117,41.144,-1.027,0
1165863,39.641,40.656,-1.015,0
1170963,39.147,40.150,-1.003,0
1176063,38.672,39.662,-0.990,0
1181163,38.178,39.156,-0.978,0
1186263,37.703,38.668,-0.965,0
1191363,37.209,38.162,-0.953,0
1196463,36.734,37.674,-0.940,0
1201563,36.240,37.168,-0.928,0
1206663,35.765,36.680,-0.915,0
1211763,35.271,36.174,-0.903,0
1216863,34.796,35.686,-0.890,0
1221963,34.301,35.179,-0.878,0
1227063,33.826,34.692,-0.866,0
1237263,32.857,33.698,-0.841,0
1247463,31.888,32.704,-0.816,0
1252563,31.394,32.198,-0.804,0
1257663,30.919,31.710,-0.791,0
1262763,30.425,31.204,-0.779,0
1267863,29.950,30.716,-0.766,0
1272963,29.456,30.210,-0.754,0
1278063,28.980,29.722,-0.742,0
1283163,28.486,29.216,-0.730,0
1288263,28.011,28.728,-0.717,0
1298463,27.042,27.734,-0.692,0
1303619,26.548,27.228,-0.680,0
1308719,26.054,26.721,-0.667,0
1313819,25.579,26.234,-0.655,0
1318919,25.085,25.727,-0.642,0
1324049,24.610,25.239,-0.630,0
1329149,24.116,24.733,-0.617,0
1334249,23.640,24.245,-0.605,0
1339349,23.146,23.739,-0.593,0
1349549,22.177,22.745,-0.568,0
1354649,21.702,22.258,-0.556,0
1359749,21.208,21.751,-0.543,0
1364849,20.733,21.264,-0.531,0
1369949,20.239,20.757,-0.518,0
1375049,19.764,20.270,-0.506,0
1380149,19.270,19.763,-0.493,0
1385249,18.795,19.276,-0.481,0
1390349,18.300,18.768,-0.468,0
1395449,17.825,18.282,-0.457,0
1400549,17.331,17.775,-0.444,0
1405649,16.856,17.288,-0.431,0
1410749,16.362,16.781,-0.419,0
1415849,15.887,16.294,-0.407,0
1420949,15.393,15.787,-0.393,0
1426049,14.918,15.300,-0.382,0
1436249,13.949,14.306,-0.357,0
1441349,13.455,13.799,-0.344,0
1451549,12.485,12.805,-0.320,0
1456649,12.010,12.318,-0.308,0
1461749,11.516,11.811,-0.295,0
1471949,10.547,10.817,-0.270,0
1477053,10.072,10.330,-0.258,0
1482153,9.578,9.823,-0.245,0
1487253,9.103,9.336,-0.233,0
1492353,8.609,8.829,-0.220,0
1497453,8.134,8.341,-0.207,0
1502553,7.639,7.835,-0.196,0
1507680,7.164,7.348,-0.184,0
1512780,6.670,6.841,-0.171,0
1517880,6.195,6.354,-0.159,0
1528080,5.226,5.360,-0.134,0
1533180,4.732,4.854,-0.122,0
1538283,4.257,4.366,-0.109,0
1543383,3.763,3.859,-0.096,0
1548483,3.288,3.372,-0.084,0
1553583,2.794,2.865,-0.071,0
1558683,2.318,2.378,-0.060,0
1563783,1.824,1.871,-0.047,0
1568883,1.349,1.384,-0.035,0
1573983,0.855,0.877,-0.022,0
