# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,95,19541519,101328,136427,205700,448233,622108726361,63330005,839281249,6548512909,28014187362
single,dive.deco_schedule.rate,2660,5037199,1792,1920,1893,1930,343496044548872266,112625,12000019,129133851334162,120000219920457316
single,dive.display_refresh,261,36895495,1026,10673,141362,3242194,6862723091546,639750,66706272,26293958205,2026371259333
single,dive.o2_tox,31,8246,266,266,266,266,239621128,16625,1662555,7729713,166252130
single,dive.o2_tox.rate,3307,6232783,1121,1937,1884,1953,152973938790286143,113187,11406238,46257616809883,121062814752161095
single,dive.rate_and_logging,2413,30316703,12085,12087,12563,14852,11750516484012609829,755312,75543735,4869671149611525,9081254226701796400
single,flash.init.reset_pos,2,26042,13021,13021,13021,13021,162762457,81381216,81381228,81381228,81381241
single,flash.log.rate,651,1127660,1725,1730,1732,1855,1081349627231981,108125,10812565,1661059335225,1081254603624282
single,flash.serial.write,5,62960,12592,12592,12592,12592,393500180,78700016,78700041,78700036,78700041
single,task.mode.tick.loop,116,71503579,43910,470271,616410,3630242,617463204435123061473352954061891,27479000,382478128215,5322958658923474667873732362602,294015629270204929361883592709270
