time_ms,depth_m,gas_idx
22921,6.715,0
43117,13.496,0
63313,20.278,0
83333,26.993,0
103530,33.774,0
123545,40.489,0
143741,47.271,0
163937,50.437,0
184133,50.577,0
204329,50.713,0
224525,50.842,0
244721,50.962,0
264917,51.069,0
285113,51.163,0
305309,51.240,0
325505,51.300,0
345701,51.341,0
365897,51.363,0
386093,51.365,0
426485,51.309,0
446681,51.253,0
487077,51.088,0
507273,50.983,0
527469,50.865,0
547665,50.738,0
567861,50.603,0
588057,50.463,0
608253,50.323,0
628449,50.182,0
648645,50.044,0
668841,49.913,0
689037,49.790,0
709233,49.679,0
729429,49.582,0
749625,49.499,0
769821,49.434,0
790017,49.387,0
810213,49.360,0
830412,49.352,0
850608,49.365,0
870804,49.397,0
891000,49.448,0
911196,49.517,0
931392,49.603,0
951588,49.705,0
971784,49.819,0
991980,49.943,0
1012176,50.076,0
1032372,50.215,0
1052568,50.357,0
1072764,48.478,0
1092960,46.559,0
1113156,44.639,0
1133352,42.720,0
1153371,40.820,0
1173567,38.900,0
1193763,36.981,0
1213959,35.062,0
1254351,31.223,0
1274547,29.303,0
1294743,27.384,0
1314939,25.465,0
1334955,23.564,0
1355151,21.645,0
1375347,19.726,0
1395543,17.806,0
1415739,15.887,0
1435935,13.968,0
1456131,12.048,0
1476327,10.129,0
1516719,6.290,0
1536914,4.371,0
1557110,2.451,0
1577306,0.532,0
