# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,103,23397481,101649,241798,227160,449112,4087927908849,63530624,1526437569,39688620474,2806900030012
single,dive.deco_schedule.rate,2707,5135862,1793,1921,1897,1937,239035191130933396,112687,12006235,88302619553355,120062607052857567
single,dive.display_refresh,151,31963506,2176,21760,211678,1919301,5803621021644,1360000,136000014,38434576302,1199235003036
single,dive.o2_tox,33,8745,265,265,265,265,17140498833,16562,1656258,519409055,16562200145
single,dive.o2_tox.rate,3361,6337261,1812,1940,1885,1957,421449059291611807,113875,11412556,125393948018926,121250832180858813
single,dive.rate_and_logging,2667,33488594,12079,12079,12556,14925,1085760279695516076,754937,75493736,407109216233789,755437639061057253
single,flash.init.reset_pos,3,39351,13117,13117,13117,13117,245943707,81981217,81981245,81981235,81981245
single,flash.log.rate,881,1527637,1728,1732,1733,1861,197928149452,108250,10825071,224663052,108250600212
single,flash.point.write,1,17721,17721,17721,17721,17721,110756252,110756252,110756252,110756252,110756252
single,flash.serial.write,3,38061,12687,12687,12687,12687,237881207,79293717,79293745,79293735,79293745
single,task.mode.tick.loop,108,63059616,4399,471099,583885,3652079,338039379181044203846219767890220449980744101719457659349966555014509886516937674225587359,27480937,38449312647,3129994251676335220798331184168707870192075015920904253240431064949165615897571057644327,338039379181044203812439204920492042287550908569204920422901358409204920422927067092049452
