# decision.csv summarizes scheduler decisions extracted from the log.
# skipped values come from the RTT bench_decision lines, so the table tracks milliseconds rather than replay iterations.
label,count,due_count,not_due_count,sum_skipped_ms,min_skipped_ms,median_skipped_ms,avg_skipped_ms,max_skipped_ms,sum_skipped_seconds,min_skipped_seconds,median_skipped_seconds,avg_skipped_seconds,max_skipped_seconds
dive.deco_schedule.rate,1835,60,1775,262236,856,3224.0,4444.7,16045,262.236,0.856,3.224,4.445,16.045
dive.display_refresh.rate,125,28,97,261805,20,408.0,9696.5,88235,261.805,0.020,0.408,9.696,88.235
dive.o2_tox.rate,1912,27,1885,243074,1707,7860.0,9349.0,21579,243.074,1.707,7.860,9.349,21.579
flash.log.rate,2269,22,2247,254125,90,7225.0,12101.2,33969,254.125,0.090,7.225,12.101,33.969
