time_ms,pa_flash,pa_profile,pa_diff,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
22937,163133.3,163133.4,-0.1,6.301,6.301,-0.000,0
43133,231342.0,231342.0,-0.0,13.254,13.254,-0.000,0
63333,299550.7,299520.1,30.6,20.206,20.203,0.003,0
83354,367084.0,367084.0,0.0,27.091,27.091,0.000,0
103550,435292.7,435292.7,0.0,34.044,34.044,0.000,0
123566,502826.0,502887.0,-61.0,40.928,40.934,-0.006,0
143762,571034.6,571034.7,-0.1,47.881,47.881,-0.000,0
163962,639243.4,639243.4,0.0,54.834,54.834,0.000,0
183978,706776.7,706810.1,-33.4,61.718,61.721,-0.003,0
204174,774985.3,774985.3,0.0,68.671,68.671,0.000,0
224370,843194.0,843194.0,0.0,75.624,75.624,0.000,0
244386,910727.3,910746.6,-19.3,82.508,82.510,-0.002,0
264582,978936.0,978936.0,0.0,89.461,89.461,0.000,0
284778,1009547.4,1009547.4,0.0,92.581,92.581,0.000,0
304974,1013296.6,1013296.6,0.0,92.963,92.963,0.000,0
325170,1016778.4,1016778.4,0.0,93.318,93.318,0.000,0
345366,1019837.6,1019837.6,0.0,93.630,93.630,0.000,0
365562,1022337.9,1022337.9,0.0,93.885,93.885,0.000,0
385758,1024167.8,1024167.8,0.1,94.072,94.072,0.000,0
405954,1025245.9,1025245.9,0.0,94.182,94.182,0.000,0
426150,1025523.8,1025523.7,0.2,94.210,94.210,0.000,0
446346,1024989.2,1024989.2,-0.1,94.155,94.155,-0.000,0
466544,1023666.2,1023666.2,0.0,94.021,94.021,0.000,0
486740,1021613.6,1021613.5,0.1,93.811,93.811,0.000,0
506936,1018922.8,1018922.8,0.0,93.537,93.537,0.000,0
527132,1015713.9,1015713.9,0.0,93.210,93.210,0.000,0
547328,1012129.9,1012129.9,0.0,92.845,92.845,0.000,0
567524,1008330.6,1008330.6,0.0,92.457,92.457,0.000,0
587720,1004485.3,1004485.3,-0.0,92.065,92.065,-0.000,0
607916,1000765.6,1000765.6,0.0,91.686,91.686,0.000,0
628112,997337.0,997337.1,-0.1,91.337,91.337,-0.000,0
648308,994352.8,994352.8,0.0,91.032,91.032,0.000,0
668504,991945.6,991945.8,-0.2,90.787,90.787,-0.000,0
688700,990222.9,990222.9,0.0,90.611,90.611,0.000,0
708896,989261.6,989261.6,0.0,90.513,90.513,0.000,0
729092,989104.4,989104.4,-0.0,90.497,90.497,-0.000,0
749288,989758.4,989758.4,-0.0,90.564,90.564,-0.000,0
769484,991194.4,991194.4,0.0,90.710,90.710,0.000,0
789684,993348.4,993348.4,0.0,90.930,90.930,0.000,0
809887,996124.2,996124.2,0.0,91.213,91.213,0.000,0
830083,999398.4,999398.4,0.0,91.547,91.547,0.000,0
850105,1002987.7,1002987.7,0.0,91.913,91.913,0.000,0
870301,1006803.6,1006803.6,-0.0,92.302,92.302,-0.000,0
890332,985569.1,985569.0,0.1,90.137,90.137,0.000,0
910362,960591.0,960591.0,0.0,87.591,87.591,0.000,0
930558,935363.1,935363.1,-0.0,85.019,85.019,-0.000,0
950754,910135.2,910135.3,-0.1,82.448,82.448,-0.000,0
970774,885157.2,885157.2,0.0,79.901,79.901,0.000,0
990970,859929.3,859929.3,0.0,77.330,77.330,0.000,0
1011166,834701.4,834701.5,-0.1,74.758,74.758,-0.000,0
1031183,809723.4,809723.3,0.1,72.212,72.212,0.000,0
1051210,784745.3,784745.3,0.0,69.666,69.666,0.000,0
1071241,759767.2,759767.2,0.0,67.119,67.119,0.000,0
1091294,734539.3,734539.3,0.0,64.548,64.548,0.000,0
1111490,709311.4,709311.4,-0.0,61.976,61.976,-0.000,0
1131686,684083.6,684083.6,-0.0,59.405,59.405,-0.000,0
1151882,658855.8,658855.7,0.1,56.833,56.833,0.000,0
1172078,633627.9,633627.9,0.0,54.261,54.261,0.000,0
1192274,608400.1,608513.6,-113.5,51.690,51.701,-0.012,0
1212291,583422.0,583421.9,0.1,49.143,49.143,0.000,0
1232487,558194.1,558194.1,0.0,46.572,46.572,0.000,0
1252683,532966.2,532966.3,-0.1,44.000,44.000,-0.000,0
1272704,507988.1,507988.2,-0.1,41.454,41.454,-0.000,0
1312994,457782.2,457782.2,0.0,36.336,36.336,0.000,0
1333024,432804.1,432804.1,0.0,33.790,33.790,0.000,0
1373416,382348.4,382348.4,0.0,28.647,28.647,0.000,0
1393447,357370.3,357370.3,0.0,26.100,26.100,0.000,0
1413643,332142.4,332142.5,-0.1,23.529,23.529,-0.000,0
1433839,306914.6,306914.5,0.0,20.957,20.957,0.000,0
1453856,281936.5,281936.5,-0.0,18.411,18.411,-0.000,0
1473894,256708.6,256708.6,0.0,15.839,15.839,0.000,0
1514111,206502.7,206502.6,0.1,10.721,10.721,0.000,0
1534307,181274.8,181274.8,-0.0,8.150,8.150,-0.000,0
1554503,156046.9,156046.9,0.0,5.578,5.578,0.000,0
1574700,130819.1,130819.1,0.0,3.007,3.007,0.000,0
1594896,105591.2,105591.2,-0.0,0.435,0.435,-0.000,0
