time_ms,depth_m,gas_idx
8033,1.679,0
13133,3.424,0
18233,5.103,0
23333,6.849,0
28433,8.528,0
33533,10.273,0
38633,11.952,0
43733,13.698,0
48833,15.376,0
53933,17.122,0
59033,18.801,0
64137,20.169,0
69237,20.272,0
74337,20.370,0
79437,20.449,0
84537,20.508,0
89637,20.540,0
94737,20.545,0
99837,20.521,0
104937,20.470,0
110037,20.397,0
115137,20.304,0
120237,20.203,0
125337,20.093,0
130437,19.992,0
135537,19.897,0
140637,19.823,0
145737,19.769,0
155937,19.746,0
161037,19.776,0
166137,19.833,0
171237,19.910,0
176337,20.007,0
181437,20.110,0
186537,19.833,0
191637,19.402,0
196737,18.953,0
201837,18.521,0
206937,18.072,0
212037,17.641,0
217137,17.192,0
222237,16.761,0
227337,16.312,0
232437,15.880,0
237537,15.431,0
242637,15.000,0
247737,14.551,0
252837,14.120,0
257937,13.671,0
263037,13.239,0
268137,12.791,0
273237,12.359,0
278337,11.910,0
283437,11.479,0
288537,11.030,0
293637,10.598,0
298737,10.150,0
303837,9.718,0
308960,9.269,0
314060,8.820,0
319160,8.389,0
324260,7.940,0
329360,7.509,0
334460,7.060,0
339560,6.628,0
344660,6.179,0
349760,5.748,0
354860,5.299,0
359960,4.868,0
365060,4.419,0
370160,3.987,0
375260,3.539,0
380360,3.107,0
385460,2.658,0
390560,2.227,0
395660,1.778,0
400760,1.346,0
405860,0.898,0
